,District,Name.of.Local.Level,llcode,Province,Ward,Employer.Name
145,508,Butwal,50802,Lumbini,6,Janakalyan Saving & Credit Co-operative ltd 
146,508,Butwal,50802,Lumbini,6,Royal SASA Nepal Pharmaceuticals Pvt. Ltd.
147,508,Sidharthanagar,50811,Lumbini,1,Universal Institute of Advanced Studies & Research Pvt. Ltd.
148,508,Tilottama,50808,Lumbini,1,Everest Medicine Center
149,508,Tilottama,50808,Lumbini,5,Sabaiko Saving and Credit  Co-operative Ltd.
150,509,Banganga,50901,Lumbini,2,Banganga Khanepani  Tatha Sarsaphai Sanstha
151,509,Shivaraj,50903,Lumbini,1,SHIVAGADHI ENGLISH SCHOOL
152,510,Ghorahi,51002,Lumbini,15,Nepal Women Community Service Center
153,511,Baijanath,51103,Lumbini,2,Gramin Bidhut Saving and Credit Co-operative Society Ltd.
154,511,Khajura,51104,Lumbini,2,Khajura Nature Garden And Agro Farm Private Limited
155,511,Kohalpur,51102,Lumbini,11,Shree Shikhar Jadibuti Utpadak sahakari sanstha ltd
156,511,Kohalpur,51102,Lumbini,14,Hulas Khadya Udhyog Pvt.Ltd.
157,511,Nepalgunj,51106,Lumbini,12,mata bageshwari security service pvt.ltd.
158,511,Nepalgunj,51106,Lumbini,2,GURUKUL SAVING AND CREDIT CO-OPERATIVE LTD
159,511,Nepalgunj,51106,Lumbini,18,Nepatop sales
160,512,Badhaiyatal,51208,Lumbini,8,Sagar Krishi Tatha Pashupanchhi Farm
161,602,Chhayanath Rara,60202,Karnali,2,Karnali Community Development Center 
162,602,Mugum Karmarog,60201,Karnali,5,"Karani Community Development Center,Mugu"
163,603,Simkot,60303,Karnali,6,"Women Welfare service,Humla"
164,603,Simkot,60303,Karnali,6,"Himaalyan Education and Development, Humla Nepal (HEAD Nepal) "
165,604,Chandannath,60404,Karnali,6,Karnali Integrated Rural Development and Research Center (KIRDARC-Nepal)
166,606,Narayan,60608,Karnali,1,Sustainable Agriculture or Environment & Water Source Conservation Center (SAEWCC-Dailekh)
167,608,Musikot,60804,Karnali,1,Rukumeli Social Devlopment Center 
168,608,Musikot,60804,Karnali,1,Rukumeli Social Devlopment Center 
169,610,Birendranagar,61006,Karnali,4,Swavalambi Saving and Credit Cooperative Ltd.
170,610,Birendranagar,61006,Karnali,6,Birendranagar Saving and Credit Cooperative Ltd
171,610,Birendranagar,61006,Karnali,4,Province Hospital
172,610,Birendranagar,61006,Karnali,4,kopila valley sewa samaj
173,610,Birendranagar,61006,Karnali,4,Yugaawhan National Daily
174,610,Birendranagar,61006,Karnali,10,New Life Children's Haven
175,610,Birendranagar,61006,Karnali,8,Sundar Nepal Sanstha
