"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"1258",5427,0,-19940,-120000,0,0,0,0,-139940,259480,13800,0,0,22150,22000,0,22150,295430,-0.473682429001794
"1272",5465,0,-65700,0,0,0,0,0,-65700,241280,18870,0,0,0,10000,0,0,260150,-0.252546607726312
"1275",5469,0,-178800,0,0,0,0,0,-178800,557700,1e+05,0,0,75,4000,0,75,657775,-0.271825472235947
"1283",5481,0,-202200,0,0,0,0,0,-202200,361400,357500,0,20000,0,50000,7000,20000,738900,-0.273650020300447
"1313",5519,0,-23900,0,0,0,0,0,-23900,270400,2350,0,0,0,12000,0,0,272750,-0.0876260311640697
"1319",5525,0,-25000,0,0,0,0,0,-25000,135200,0,0,0,0,1e+05,0,0,135200,-0.18491124260355
"1334",5572,0,34300,-6e+05,16,0,0,390000,-175684,203840,9500,0,80600,0,540000,98200,80600,293940,-0.597686602708036
"1335",5575,0,-11000,-276000,48000,1e+05,0,0,-139000,467740,0,0,103600,0,2e+05,0,103600,571340,-0.243287709594987
"1356",5641,0,-55000,-870000,0,0,0,208600,-716400,300560,0,0,96360,0,118000,0,96360,396920,-1.80489771238537
"1366",5664,58000,-247708,50000,0,0,0,0,-139708,361660,116000,0,0,0,55000,0,0,477660,-0.292484193778001
"1403",5746,317100,0,-730000,0,0,0,257031,-155869,514904,0,0,5276,0,10000,500,5276,520180,-0.299644353877504
"1412",5764,0,500,-1350000,0,344000,0,3000,-1002500,245960,0,0,111540,0,60000,5000,111540,357500,-2.8041958041958
"1429",5830,0,0,0,0,-2e+06,0,0,-2e+06,224016,47300,0,15550,50,35000,0,15600,286916,-6.97068131439167
"1470",5927,0,-12712,0,0,0,0,0,-12712,2125032,120000,0,22000,0,25000,0,22000,2267032,-0.00560733152421316
"1528",6082,0,77250,-540000,0,325000,72000,0,-65750,154440,67300,0,40000,0,40000,0,40000,261740,-0.251203484373806
"1540",6118,3000,155400,0,0,-354800,0,0,-196400,192400,16950,0,40,0,120000,10000,40,209390,-0.937962653421844
"1561",6171,0,-246200,38500,0,0,0,0,-207700,828308,0,0,14400,0,140000,0,14400,842708,-0.246467341000679
"1580",6292,0,2400,-155000,0,0,0,0,-152600,276120,0,0,5760,4170,20000,0,9930,286050,-0.533473169026394
"1586",6320,0,-33200,-2e+05,48000,0,0,0,-185200,365560,0,0,55400,0,70000,0,55400,420960,-0.439946788293425
"1615",6428,0,74900,-2e+05,0,0,0,15000,-110100,265200,0,0,0,0,80000,0,0,265200,-0.415158371040724
"1706",6941,0,4,-480000,0,0,0,0,-479996,223600,0,0,1800,0,19800,0,1800,225400,-2.12952972493345
"1720",6967,20000,87100,-3e+05,0,0,0,0,-192900,174200,0,0,5000,0,5000,50000,5000,179200,-1.07645089285714
"1748",7059,0,-55800,-12000,24000,0,0,0,-43800,242840,173200,0,0,0,2e+05,0,0,416040,-0.105278338621286
"1753",7078,26000,-39400,0,0,0,0,300,-13100,131040,0,0,60315,355,60600,265,60670,191710,-0.0683323770278024
"1762",7092,0,109000,-588000,0,0,0,0,-479000,243360,27000,0,34490,0,30000,10000,34490,304850,-1.57126455633918
"1796",7190,0,-1000,-3000,0,0,0,0,-4000,215800,7800,0,1400,470,4000,0,1870,225470,-0.0177407193861711
"1805",7256,0,-10250,0,0,0,0,3000,-7250,458640,81300,0,26580,0,30000,0,26580,566520,-0.0127974299230389
"1825",7368,42000,3350,-640000,96000,0,0,5900,-492750,259220,0,0,2768,0,25000,0,2768,261988,-1.8808113348703
"1862",7507,0,-36100,-144000,0,144000,0,0,-36100,183560,0,0,16800,0,7200,0,16800,200360,-0.180175683769215
"1868",7542,0,123300,-310000,36000,0,0,500,-150200,883480,149900,0,49130,0,50000,5000,49130,1082510,-0.138751605066004
"1901",7749,6000,-18125,-53000,0,19700,0,0,-45425,217360,7580,0,28000,2635,33000,1200,30635,255575,-0.177736476572435
