"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"121",1991,0,124000,0,0,155000,0,8,279008,426244,46950,10495,15445,2900,3e+05,0,28840,502034,0.55575518789564
"122",1992,809000,0,0,0,0,0,0,809000,150280,50600,0,7168,2310,35000,600006,9478,210358,3.84582473687713
"123",1993,8e+05,0,0,0,0,0,0,8e+05,300560,0,0,0,10,5000,0,10,300570,2.66160960841069
"124",1998,384000,-42500,1e+06,0,14000,0,2000,1357500,880880,64000,0,0,0,150000,0,0,944880,1.43669037338075
"125",1999,761000,-23000,0,0,0,0,30000,768000,289640,0,0,0,0,30000,20000,0,289640,2.65156746305759
"126",2003,5600,-41900,185000,120000,0,0,500,269200,369720,0,0,110310,0,117200,20000,110310,480030,0.560798283440618
"127",2027,0,4201,3e+05,0,0,0,4000,308201,383240,0,0,70500,0,72000,0,70500,453740,0.679245823599418
"128",2034,0,-44650,0,7000,0,0,0,-37650,288600,29000,225000,224000,0,0,0,449000,766600,-0.0491129663448996
"129",2037,158000,96500,510000,0,0,0,0,764500,313040,1800,0,600,0,30000,0,600,315440,2.4235987826528
"130",2038,0,0,0,0,0,120000,260000,380000,288600,47700,0,0,0,40000,0,0,336300,1.12994350282486
"131",2050,6000,9600,40000,0,0,0,0,55600,192400,26300,58000,35000,0,3e+05,15000,93000,311700,0.178376644209175
"132",2055,0,8150,0,0,0,0,0,8150,456560,0,0,101500,0,1e+05,0,101500,558060,0.0146041644267641
"133",2057,398000,-13950,0,0,0,12000,0,396050,233480,0,0,0,0,150000,0,0,233480,1.69629090286106
"134",2059,860500,23881,0,0,0,0,15600,899981,326820,0,0,0,0,50000,0,0,326820,2.75375130041001
"135",2074,0,0,12000,0,0,504000,479000,995000,620880,77000,0,8000,0,8000,0,8000,705880,1.40958803196011
"136",2075,272000,0,0,0,0,0,221000,493000,283400,165500,0,0,0,2e+05,0,0,448900,1.09824014257073
"137",2076,1643000,0,0,0,0,0,0,1643000,442000,70200,0,0,0,30000,4000,0,512200,3.20773135493948
"138",2114,680800,-72900,-60000,96000,0,0,4500,648400,457080,19150,0,147600,0,2e+05,140000,147600,623830,1.03938573008672
"139",2126,727500,0,0,0,0,0,2000,729500,161200,30850,0,0,0,7000,0,0,192050,3.7984899765686
"140",2131,0,50000,0,0,0,0,0,50000,679120,0,0,0,0,150000,0,0,679120,0.0736246907762987
